gene_ID,Mean
b0001,176.461717194
b0002,2146.3335249
b0003,1416.35052915
b0004,1617.02648463
b0005,77.0421910186
b0006,118.867988346
b0007,10.4145682905
b0008,2350.60458687
b0009,73.4512168633
b0010,41.2627015683
b0011,3.1001740437
b0013,1.1789201163
b0014,1298.42504516
b0015,261.509834551
b0016,74.1486457093
b0018,2.2199992595
b0019,72.0422615138
b0020,77.2797862577
b0021,2.8029331777
b0022,7.4016706494
b0023,1833.01797563
b0024,1.7975487797
b0025,333.652652285
b0026,871.675651971
b0027,164.252281933
b0028,127.431268277
b0029,174.736006241
b0030,32.2105043282
b0031,406.428515817
b0032,1651.27875475
b0033,1691.1583099
b0034,26.7923245778
b0035,3.0762900503
b0036,1.1106763644
b0037,10.3068069931
b0038,7.1203385125
b0039,14.8923808339
b0040,1.2494213865
b0041,2.8845157575
b0042,1.501040567
b0043,1.8988536502
b0044,0
b0045,0.5933394322
b0046,26.5657181436
b0047,35.2140953895
b0048,137.716804788
b0049,112.963178451
b0050,100.531223682
b0051,335.346696629
b0052,235.468527032
b0053,627.095397815
b0054,617.474482378
b0055,60.036923536
b0058,44.7624853258
b0059,125.322502987
b0060,29.1381350731
b0061,2.493519188
b0062,5.8952777694
b0063,3.8582212034
b0064,45.8739395844
b0065,20.8278404206
b0066,48.0056292236
b0067,48.0524825126
b0068,291.177125033
b0069,44.6057193421
b0070,23.7785385928
b0071,987.766822127
b0072,1546.12338664
b0073,1176.53288386
b0074,1023.25764357
b0075,33.1152652857
b0076,7.8439231923
b0077,458.15783792
b0078,258.176970295
b0080,198.371151898
b0081,137.151578309
b0082,229.224921275
b0083,107.591688992
b0084,166.966601791
b0085,232.374692549
b0086,211.6413991
b0087,120.374371865
b0088,203.6502473
b0089,121.235954145
b0090,130.727574928
b0091,207.839791817
b0092,221.124252215
b0093,194.536176343
b0094,177.391652131
b0095,779.088150935
b0096,1009.30922075
b0097,342.974939577
b0098,348.041416135
b0099,20.54907777
b0101,24.2648724324
b0102,156.611219689
b0103,109.458826784
b0104,682.996303431
b0106,5.9558212897
b0107,9.3868341529
b0108,0
b0109,186.386246633
b0110,46.7861053684
b0111,40.4860200912
b0112,950.493743441
b0113,297.108574458
b0114,1669.46133171
b0115,1193.31576656
b0116,2602.96054685
b0117,4.5052242735
b0118,2647.40693868
b0119,107.131537147
b0120,631.86252304
b0121,558.776616476
b0122,135.506418934
b0123,302.076836023
b0124,251.862077947
b0125,292.679808046
b0126,1857.55825541
b0127,115.086712448
b0128,58.5746462995
b0129,8.3824995661
b0130,18.3623063249
b0131,547.074061125
b0132,6.7119551703
b0133,405.081255425
b0134,399.854505216
b0135,4.0623913123
b0136,0.922409163
b0137,3.0002697031
b0138,2.8801756828
b0139,2.4266749741
b0140,0.4208623933
b0141,1.4741989339
b0142,101.304916652
b0143,594.4021342
b0144,49.0094808423
b0145,704.290130632
b0146,68.8995425297
b0147,45.717177656
b0148,43.6536349843
b0149,97.7349694708
b0150,517.202916436
b0151,80.6265574384
b0152,78.5433788311
b0153,34.567779876
b0154,302.980228766
b0155,38.3664310934
b0156,257.783087858
b0157,18.3166684279
b0158,36.2177354669
b0159,589.602497633
b0160,55.4481423226
b0161,248.881127061
b0162,10.1292098501
b0163,258.360820585
b0164,14.1659687999
b0166,1524.08664012
b0167,119.27322252
b0168,658.380300793
b0169,6103.66411388
b0170,2256.86172153
b0171,433.539529145
b0172,1307.08187529
b0173,41.7851070791
b0174,197.939615526
b0175,157.610579543
b0176,330.829239607
b0177,695.893911414
b0178,785.993427756
b0179,1015.18651055
b0180,417.160536935
b0181,526.335528425
b0182,245.021666979
b0183,111.643342161
b0184,134.776998379
b0185,717.579177519
b0186,60.7681077326
b0187,50.0665210605
b0188,73.9790238228
b0189,58.0967769456
b0190,49.1054196958
b0191,30.3140974024
b0192,67.2674852595
b0193,4.0951128195
b0194,753.407103426
b0195,97.0708083291
b0196,220.812166185
b0197,1786.46964754
b0198,176.004786193
b0199,436.419820979
b0200,133.091417811
b0207,58.6932164202
b0208,45.5940007009
b0209,210.545060887
b0210,20.6654634998
b0211,619.123337775
b0212,77.9249676121
b0213,65.6345748897
b0214,94.1084627532
b0215,165.139532347
b0217,6.6250935478
b0218,0
b0219,39.5531919836
b0220,342.98192249
b0221,70.0118314062
b0222,312.206475445
b0223,130.678977693
