metab,Glucose,LB,Glycerol + AA,Acetate,Fumarate,Glucosamine,Glycerol,Pyruvate,Chemostat µ=0.5,Chemostat µ=0.35,Chemostat µ=0.20,Chemostat µ=0.12,Stationary phase 1 day,Stationary phase 3 days,Osmotic-stress glucose,42°C glucose,pH6 glucose,Xylose,Mannose,Galactose ,Succinate,Fructose
gly_c,0.708587190739,0.708941690259,,0.713075355732,0.710226867696,0.71099391357,0.708927161733,0.717607151926,0.709785964489,0.708704132306,0.706845094465,0.705736563837,0.69610444034,0.699876776445,0.706871319674,0.708398736556,0.70632890733,,,0.701773614269,0.711040718935,
ser__L_c,0.290905157857,0.279834414551,,0.298914067413,0.295208886261,0.295612416973,0.293612113735,0.295172083362,0.294915466665,0.298125552998,0.300879291672,0.303332061557,0.306297588408,0.303135865568,0.298670297122,0.292455929373,0.297931287071,,,0.300324190068,0.293495820603,
thr__L_c,0.30001866112,0.300454274909,,0.304470363696,0.301020226731,0.300002680038,0.300884662107,0.297706865283,0.29894421818,0.300421309288,0.300527015184,0.301605500103,0.310986985409,0.31021803934,0.304121988942,0.302596950777,0.303061855811,,,0.300014981964,0.300397670978,
arg__L_c,0.18711808305,0.199895347499,,0.171507168806,0.177729370401,0.179709507335,0.183252281263,0.178183716791,0.181424091506,0.174097106665,0.172137444859,0.170941796651,0.170083073785,0.169892813196,0.180002327239,0.187008168941,0.179815436004,,,0.171843291783,0.179677193123,
trp__L_c,0.026304647077,0.0227487129066,,0.0295304160826,0.0280916529342,0.0274891721088,0.0275209801947,0.0259756988663,0.0278657506005,0.0298175149833,0.0308711208249,0.0312323254032,0.0257777942285,0.0263682403008,0.0266013046678,0.0256877819167,0.0265517107911,,,0.0297934520262,0.027251668468,
his__L_c,0.0807865942084,0.0794976116098,,0.0798507816409,0.0792859174204,0.079144848869,0.079485832147,0.0789273155969,0.0801365541629,0.0786162069141,0.0789554642645,0.079059360554,0.0722261807068,0.0729819245329,0.0791444602568,0.0786732940652,0.0781207416285,,,0.0786769285864,0.0790539654896,
ile__L_c,0.289880934278,0.29127022296,,0.284363821951,0.287203477248,0.288564421823,0.288501382045,0.289499508144,0.289447635622,0.286975546313,0.285075195038,0.283329348787,0.283148942658,0.284576655542,0.28714528488,0.292125475627,0.287664008998,,,0.283703219053,0.288900633335,
cys__L_c,0.0392183223659,0.0365108558678,,0.0450925671522,0.0414097672498,0.0413913881614,0.040370302957,0.041314099285,0.0425277628714,0.0436559286416,0.0442816673232,0.0445115838792,0.0391445188996,0.0388615126585,0.0406614890611,0.0391248717902,0.0395536815854,,,0.0421490108311,0.0409006569745,
leu__L_c,0.411216409617,0.392383429903,,0.412251687481,0.409434825199,0.409259905973,0.411347056498,0.414945033778,0.412936373793,0.410958121134,0.410692794594,0.410561445778,0.408114394868,0.40738098912,0.408067198749,0.408721661134,0.409168743221,,,0.410452743175,0.409592559046,
phe__L_c,0.129642389906,0.128754429463,,0.133999618359,0.132116298466,0.130920450425,0.130299721062,0.131336183867,0.131353994945,0.133377745072,0.134792486955,0.135338780245,0.122123016444,0.123041557269,0.128035762172,0.128121808978,0.128848735825,,,0.132856959599,0.131783530471,
val__L_c,0.437042223018,0.451438380053,,0.42152788659,0.428927521691,0.43098503058,0.432420819967,0.436128003682,0.430475152051,0.423065080603,0.419119267837,0.417142450436,0.436340837713,0.436482779349,0.433697391347,0.435771137207,0.434102084754,,,0.420855163764,0.430885766689,
gln__L_c,0.163887361388,0.158388674751,,0.17890370904,0.171442482675,0.168711539584,0.168686389722,0.167048426959,0.168303788512,0.174352126478,0.177091569438,0.179720399846,0.173069119132,0.172079327358,0.167186703523,0.164722541153,0.167265794639,,,0.177403105777,0.170175644038,
ala__L_c,0.725241587166,0.731153329052,,0.747539539638,0.740528583212,0.739574540659,0.732317783661,0.732902404277,0.735737182266,0.747573307106,0.75078777056,0.754110435539,0.753443840577,0.7484646629,0.731894273744,0.728876510509,0.732345774231,,,0.753869166417,0.739369009128,
asn__L_c,0.187197757075,0.183119733407,,0.186866096045,0.189159154405,0.190891471077,0.189431861308,0.189041993589,0.189311624273,0.189918949665,0.188919236331,0.18812893395,0.200143528939,0.199032804003,0.190631736104,0.186524208691,0.193965590915,,,0.191296555708,0.188766464499,
lys__L_c,0.278232488487,0.293513049169,,0.265463420886,0.27342919022,0.276212707385,0.275465218538,0.272831576387,0.272148922383,0.268722916013,0.266294079339,0.2645771685,0.292600529533,0.291019035445,0.281052101154,0.279318610974,0.282674018666,,,0.273644998743,0.274874301334,
met__L_c,0.108959560817,0.112190733773,,0.107815474841,0.108916368735,0.108972775893,0.109295324145,0.109060466169,0.110123590564,0.109660240459,0.10949688933,0.109398541857,0.108520610557,0.107708593669,0.107505051669,0.11042352707,0.107803369933,,,0.108036190049,0.109218253601,
tyr__L_c,0.0921304373908,0.0873699231018,,0.0978244124272,0.0955189936574,0.0944055788059,0.0937067625524,0.093410199806,0.0953089811073,0.0985586696081,0.100292026469,0.100879034755,0.0901627366538,0.0914364184573,0.0938270734674,0.0903405347695,0.0921386694826,,,0.0973390334146,0.0940716373653,
pro__L_c,0.220634478181,0.213905235364,,0.223967971328,0.222034546162,0.221078729885,0.219517151731,0.223863710392,0.223454935472,0.22423783577,0.224560503928,0.223981031395,0.208986079581,0.21229108579,0.219375962374,0.216856261403,0.2177186955,,,0.220544378156,0.222203515608,
glu__L_c,0.312916529982,0.321093221385,,0.300746746098,0.305171223586,0.304112569139,0.308320881496,0.307683947475,0.30340454983,0.298568242334,0.296681456937,0.295350420938,0.295260177935,0.297719171401,0.308528966713,0.315445329315,0.306523998315,,,0.298479763078,0.306571076201,
asp__L_c,0.285435720586,0.280709508725,,0.283636231371,0.285620074759,0.285059521084,0.284825896381,0.283603113534,0.282894387405,0.284804170462,0.285573449295,0.285745572425,0.298455349569,0.297163906665,0.287489047637,0.286313579183,0.289007243436,,,0.290399736101,0.284288540158,
