BiGG ID,Lipids
pe160_p,PE(14:0-16:0)
pe161_p,PE(14:0-16:1)
pe160_p,PE(15:0-16:0)
pe161_p,PE(15:0-16:1)/PE(14:0-cy17:0)
pe160_p,PE(16:0-16:1)/PE(14:0-18:1)
pe161_p,PE(32:2) PE(16:1-16:1)
pe160_p,PE(16:0-cy17:0)/PE(15:0-18:1)
pe161_p,PE(16:1-cy17:0)
pe181_p,PE(16:0-18:1)/PE(17:0-cy17-0)
pe181_p,PE(16:1-18:1)/PE(cy17:0-cy17:0)
pe181_p,PE(17:0-18:1)/PE(16:0-cy19:0)
pe181_p,PE(cy17:0-18:1)
pe181_p,PE(18:1-18:1)
pe160_p,PE(cy17:0-cy19:0)
pg161_p,PG(14:0-16:1)
pg161_p,PG(15:0-16:1)/PG(14:0-cy17:0)
pg181_p,PG(14:0-18:1)/PG(16:0-16:1)
pg160_p,PG(16:0-cy17:0)
pg181_p,PG(16:0-18:1)
pg160_p,PG(17:0-cy17:0)
pg160_p,PG(16:0-cy19:0)
pg181_p,PG(18:1-18:1)
