name,Source,GR,GR_std,SUR,SUR_std,EX_pyr_e,pyruvate_std,EX_ac_e,acetate_std,EX_lac__L_e,lactate_std,EX_for_e,formate_std,EX_etoh_e,ethanol_std,EX_succ_e,succinate_std
WT_xp,EX_glc__D_e,0.69,0.02,8.59,1.42,0,0,3.91,1.14,0,0,0,0,0,0,0,0
experiment_3,EX_glc__D_e,0.98,0.02,13.51,1.15,0,0,8.43,2.17,0,0,0,0,0,0,0,0
experiment_4,EX_glc__D_e,0.96,0.01,12.19,0.68,0,0,7.89,1.88,0,0,0,0,0,0,0,0
experiment_5,EX_glc__D_e,0.93,0.01,12.77,0.85,0,0,7.11,1.51,0,0,0,0,0,0,0,0
experiment_6,EX_glc__D_e,1.01,0.04,13.13,1.29,0,0,5.12,0.57,0,0,0,0,0,0,0,0
experiment_8,EX_glc__D_e,0.89,0.01,12.59,1.01,0,0,5.05,0.4,0,0,0,0,0,0,0,0
experiment_9,EX_glc__D_e,0.92,0.02,13.13,0.59,0,0,6.99,0.48,0,0,0,0,0,0,0,0
experiment_10,EX_glc__D_e,0.95,0.01,13.98,1.11,0,0,9.27,1.76,0,0,0,0,0,0,0,0
acetate_1,EX_ac_e,0.223,0.011,12.14,0.629,0,0,0,0,0,0,0,0,0,0,0,0
acetate_2,EX_ac_e,0.418,0.013,20.346,0.564,0,0,0,0,0,0,0,0,0,0,0,0
acetate_3,EX_ac_e,0.43,0.01,23.016,0.02,0,0,0,0,0,0,0,0,0,0,0,0
acetate_4,EX_ac_e,0.428,0.002,20.728,0.521,0,0,0,0,0,0,0,0,0,0,0,0
acetate_5,EX_ac_e,0.402,0.003,20.456,0.011,0,0,0,0,0,0,0,0,0,0,0,0
xylose_1,EX_xyl__D_e,0.491,0.009,8.367,0.076,0,0,2.264,0.154,0,0,0,0,0,0,0,0
xylose_2,EX_xyl__D_e,0.734,0.013,12.722,0.199,0,0,5.013,0.288,0,0,0,0,0,0,0,0
xylose_3,EX_xyl__D_e,0.728,0.006,11.413,0.026,0,0,1.813,0.155,0,0,0,0,0,0,0,0
xylose_4,EX_xyl__D_e,0.724,0.003,12.202,0.258,0,0,5.739,0.203,0,0,0,0,0,0,0,0
xylose_5,EX_xyl__D_e,0.76,0.011,13.179,0.154,0,0,3.209,0.112,0,0,0,0,0,0,0,0
monk_1,EX_glc__D_e,0.73,0.01,9.67,0.27,0,0,3.49,0.5,0,0,0,0,0,0,0,0
monk_2,EX_glc__D_e,0.46,0.02,16.69,0.24,0,0,11.71,1.14,0,0,22.17,1.69,11.22,0.6,1.86,0.04
WT_Feist,EX_glyc_e,0.442,0.002,11.178,0.039,0,0,0,0,0,0,0,0,0,0,0,0
WT_McCloskey_aer_1,EX_glc__D_e,0.59,0.01,7.81,0.27,0,0,3.26,0.23,0,0,0,0.33,0.12,0,0,0
WT_McCloskey_aer_2,EX_glc__D_e,0.61,0.02,7.54,0.56,0,0,2.72,0.24,0,0,0,0.82,0.25,0,0,0
WT_McCloskey_anaer_1,EX_glc__D_e,0.38,0,15.07,2.78,1.56,0.36,9.61,0.5,0.1,0.16,19.03,0.59,12.1,0.93,1.46,0.14
WT_McCloskey_anaer_2_fix,EX_glc__D_e,0.38,0,16.2,2.11,1.39,0.11,12.04,0.18,0.33,0.07,22.41,0.28,11.4,1.86,2.01,0.11
Glyc_1,EX_glyc_e,0.733,0.003,18.398,0.378,0,0,5.141,0.139,0,0,0,0,0,0,0,0
Glyc_2,EX_glyc_e,0.73,0.018,18.579,0.738,0,0,5.256,0.118,0,0,0,0,0,0,0,0
Glyc_3,EX_glyc_e,0.767,0.003,17.984,0.08,0,0,3.098,0.018,0,0,0,0,0,0,0,0
Glyc_4,EX_glyc_e,0.749,0.005,18.484,1.028,0,0,3.248,0.12,0,0,0,0,0,0,0,0
