,gene_id,abundance
0,NP_418415.1,2779
1,NP_418414.1,3957
2,NP_414660.1,7596
3,YP_026170.1,2456
4,NP_417679.2,2859
5,NP_414656.1,5815
6,NP_415757.1,4851
7,NP_417798.1,252452
8,NP_418273.1,51584
9,NP_418567.1,22739
10,NP_414574.1,4445
11,NP_415423.1,4615
12,NP_414555.1,18605
13,NP_417637.1,3047
14,NP_418222.1,33338
15,NP_418391.1,3633
16,NP_417177.1,1948
17,NP_417799.1,39027
18,NP_418016.1,2914
19,NP_416958.1,469
20,NP_415431.1,23797
21,NP_415175.1,1846
22,NP_414543.1,5703
23,NP_415254.1,1706
24,NP_414567.1,2166
25,NP_415933.1,3501
26,NP_414640.1,706
27,NP_416380.1,2272
28,NP_416228.1,5023
29,NP_418679.1,1719
30,NP_418001.1,4939
31,NP_414657.1,9057
32,NP_418377.1,2199
33,NP_416734.1,750
34,NP_415654.1,33670
35,NP_418188.1,24156
36,NP_415452.1,1296
37,NP_416191.1,8902
38,NP_418439.1,28173
39,NP_416129.1,1352
40,NP_415534.1,128
41,YP_025308.1,1180
42,NP_415006.1,2096
43,NP_414712.1,19872
44,NP_416911.1,10158
45,NP_417640.1,8325
46,NP_418361.1,496
47,NP_416800.1,1148
48,NP_414970.1,24929
49,NP_414719.1,2029
50,NP_417633.4,3171
51,NP_418449.1,4601
52,NP_415251.1,2083
53,NP_414973.1,1139
54,NP_418493.1,995
55,NP_416217.1,1158
56,NP_417002.1,3870
57,NP_415444.1,199
58,NP_418808.1,2571
59,YP_026241.1,842
60,NP_415602.1,848
61,NP_416234.1,939
62,NP_417401.1,40039
63,NP_416275.1,6343
64,NP_417046.1,24510
65,NP_415759.1,5755
66,NP_414637.1,6070
67,NP_418438.1,4393
68,NP_416786.4,934
69,NP_417243.1,3011
70,NP_418300.1,440
71,NP_416293.1,47083
72,NP_418434.1,2728
73,NP_418164.4,613
74,NP_415792.1,595
75,NP_416789.2,935
76,NP_418306.1,17828
77,NP_414616.1,2711
78,NP_418045.4,589
79,NP_416637.1,608
80,NP_417450.1,282
81,NP_415248.1,9671
82,NP_415139.2,2435
83,NP_415477.1,119680
84,NP_418185.1,4025
85,NP_414736.1,4322
86,NP_417776.1,14191
87,NP_416737.1,560
88,NP_417955.1,1350
89,YP_026169.1,13683
90,NP_417884.1,135
91,NP_418190.1,14552
92,NP_417244.1,3317
93,NP_417645.1,2236
94,NP_418230.1,3243
95,NP_417417.1,12499
96,NP_417003.1,11237
97,NP_415017.1,2769
98,NP_417638.1,5576
99,NP_417754.1,14575
100,NP_417366.1,2565
101,NP_416617.1,2082
102,NP_416533.1,14100
103,NP_416655.1,3223
104,YP_026223.1,22968
105,NP_418443.1,421
106,NP_417703.1,53138
107,YP_026274.1,3013
108,NP_416131.1,1215
109,NP_414692.1,873
110,NP_414975.1,1057
111,NP_415802.1,1260
112,NP_415206.1,999
113,NP_417400.1,20049
114,NP_416909.1,73308
115,NP_416297.1,519
116,NP_417231.1,1520
117,NP_416344.1,506
118,NP_418288.1,173
119,NP_415214.1,1344
120,NP_414549.1,10629
121,NP_418681.1,1076
122,NP_414545.1,14609
123,NP_414658.1,12596
124,NP_414859.1,1474
125,NP_414595.1,1554
126,NP_418600.4,251
127,NP_415450.1,5528
128,NP_415413.1,2528
129,NP_418458.1,2142
130,NP_418666.1,8888
131,YP_026248.1,1199
132,NP_416202.1,231
133,NP_416660.1,575
134,NP_415403.1,530
135,NP_414703.1,3338
136,NP_414596.1,523
137,NP_415790.1,355
138,NP_416390.1,941
139,NP_416899.1,2561
140,NP_414711.1,29156
141,NP_416636.1,157
142,NP_416599.2,4939
143,NP_415619.1,2775
144,NP_415580.1,4485
145,NP_418395.1,2883
146,NP_415200.1,1154
147,NP_415448.1,6985
