,Metabolite,Coefficient
0,ile__L_c,-0.2907964681752002
1,his__L_c,-0.07909538580101926
2,pg160_p,-0.014826578855136979
3,ser__L_c,-0.30382792752346605
4,gln__L_c,-0.16176662571366865
5,utp_c,-0.15379576979105725
6,glu__L_c,-0.3088742159475492
7,met__L_c,-0.10723969052764214
8,atp_c,-89.2376994848839
9,pe161_p,-0.030710743257354293
10,h2o_c,-83.63746540313366
11,datp_c,-0.02444591818758859
12,thr__L_c,-0.30589419712897964
13,pi_c,89.08201514974236
14,ala__L_c,-0.786686581012288
15,tyr__L_c,-0.08853072858049255
16,trp__L_c,-0.02496595423787938
17,phe__L_c,-0.12592356497070842
18,asn__L_c,-0.18757538475910354
19,cys__L_c,-0.03986681905592248
20,lys__L_c,-0.2743566703314616
21,ctp_c,-0.1671601704512458
22,arg__L_c,-0.18048710436993537
23,pe160_p,-0.05984233670391253
24,gtp_c,-0.16306640467110828
25,dgtp_c,-0.023960223483571394
26,dttp_c,-0.025142709652151804
27,pg161_p,-0.013732749319021109
28,pg181_p,-0.009098089940190764
29,gly_c,-0.8068327457540323
30,val__L_c,-0.44694238390821955
31,ppi_c,0.7406050678152053
32,leu__L_c,-0.41251515857770893
33,asp__L_c,-0.286019444825156
34,dctp_c,-0.02734953643693197
35,adp_c,89.08201514974236
36,h_c,89.08201514974236
37,pe181_p,-0.013250952451946145
38,pro__L_c,-0.22635269540826172
