,Metabolites,Coefficients
0,cys__L_c,-0.03986681905592248
1,utp_c,-0.15379576979105725
2,cobalt2_c,-0.031422896632998916
3,pg161_p,-0.013732749319021107
4,fe2_c,-0.033160566780407415
5,pe181_p,-0.013250952451946144
6,glu__L_c,-0.3088742159475492
7,na1_c,-0.08055112564640064
8,ni2_c,-0.03155127922137501
9,h2o_c,-83.63746540313326
10,pe160_p,-0.05984233670391253
11,fe3_c,-0.033160566780407415
12,arg__L_c,-0.18048710436993534
13,h_c,89.08201514974195
14,ctp_c,-0.1671601704512458
15,mg2_c,-0.07619221772688138
16,trp__L_c,-0.024965954237879374
17,ca2_c,-0.04620619421757203
18,mobd_c,-0.01157858972406646
19,atp_c,-89.23769948488349
20,datp_c,-0.012215685700339098
21,pyr_c,-0.02127242055691163
22,pro__L_c,-0.2263526954082617
23,asn__L_c,-0.18757538475910354
24,so4_c,-0.01927755288584581
25,ser__L_c,-0.30382792752346605
26,dgtp_c,-0.011993613617708869
27,coa_c,-0.0024254697059160925
28,accoa_c,-0.002298897698310387
29,mn2_c,-0.033708001750332485
30,thr__L_c,-0.30589419712897964
31,nadh_c,-0.0027913502914935708
32,gly_c,-0.8068327457540323
33,leu__L_c,-0.4125151585777089
34,lys__L_c,-0.2743566703314617
35,nad_c,-0.0027955976355755288
36,phe__L_c,-0.1259235649707084
37,ala__L_c,-0.7866865810122878
38,ile__L_c,-0.2907964681752002
39,amp_c,-0.005364493627147709
40,met__L_c,-0.10723969052764212
41,cl_c,-0.05223399576486762
42,val__L_c,-0.4469423839082196
43,pg181_p,-0.009098089940190764
44,dttp_c,-0.012578844449428764
45,nh4_c,-0.1026613054469091
46,gln__L_c,-0.16176662571366865
47,cu2_c,-0.029141910613600414
48,glyc3p_c,-0.010889541117082933
49,nadp_c,-0.00250121409670112
50,nadph_c,-0.0024978136236453144
51,asp__L_c,-0.286019444825156
52,ppi_c,0.6901542149069154
53,adp_c,89.08201514974195
54,pg160_p,-0.014826578855136982
55,dctp_c,-0.013659391084477245
56,his__L_c,-0.07909538580101927
57,tyr__L_c,-0.08853072858049255
58,gtp_c,-0.16306640467110822
59,k_c,-0.047363999249375344
60,pi_c,89.08201514974195
61,pe161_p,-0.030710743257354293
62,zn2_c,-0.028311881420780807
