Genes,Measured_growth
b0002,0
b0003,0
b0004,0
b0007,1
b0008,1
b0009,1
b0010,1
b0019,1
b0025,0
b0029,0
b0030,1
b0031,0
b0032,0
b0033,0
b0036,1
b0037,1
b0038,1
b0040,1
b0046,1
b0047,1
b0048,0
b0049,1
b0052,0
b0054,0
b0066,1
b0067,1
b0068,1
b0070,1
b0071,0
b0072,0
b0073,0
b0074,0
b0077,1
b0078,1
b0084,0
b0085,0
b0086,0
b0087,0
b0088,0
b0089,0
b0090,0
b0091,0
b0092,1
b0096,0
b0099,1
b0103,0
b0104,1
b0109,0
b0110,1
b0112,1
b0114,1
b0115,1
b0116,0
b0118,1
b0120,1
b0121,1
b0123,1
b0124,1
b0125,1
b0126,0
b0131,1
b0133,1
b0134,1
b0142,0
b0149,1
b0150,1
b0151,1
b0152,1
b0153,1
b0154,0
b0155,1
b0158,1
b0159,0
b0160,1
b0166,0
b0171,0
b0173,0
b0174,0
b0175,0
b0179,0
b0180,0
b0181,0
b0182,0
b0185,0
b0186,1
b0197,1
b0198,1
b0199,1
b0200,1
b0207,1
b0211,1
b0212,1
b0221,1
b0222,1
b0237,1
b0238,1
b0241,1
b0242,0
b0243,0
b0260,1
b0261,1
b0268,1
b0269,1
b0273,1
b0306,1
b0307,1
b0308,1
b0311,1
b0312,1
b0314,1
b0315,1
b0325,1
b0331,1
b0333,1
b0334,1
b0335,1
b0336,1
b0337,1
b0339,1
b0340,1
b0341,1
b0343,1
b0347,1
b0348,1
b0349,1
b0350,1
b0351,1
b0352,1
b0353,1
b0355,1
b0356,1
b0365,1
b0366,1
b0367,1
b0368,1
b0369,0
b0376,1
b0381,1
b0383,1
b0386,0
b0388,1
b0394,1
b0401,1
b0402,1
b0403,1
b0404,1
b0411,1
b0414,0
b0415,0
b0417,0
b0418,0
b0420,0
b0421,0
b0423,0
b0425,1
b0428,1
b0429,1
b0430,1
b0431,1
b0432,1
b0433,1
b0444,1
b0446,1
b0451,1
b0452,1
b0459,1
b0462,1
b0463,1
b0465,1
b0469,1
b0474,0
b0475,0
b0477,1
b0480,1
b0484,1
b0485,1
b0493,1
b0494,1
b0505,1
b0507,1
b0508,1
b0509,1
b0511,1
b0512,1
b0514,1
b0515,1
b0516,1
b0517,1
b0521,1
b0522,0
b0523,0
b0524,0
b0529,0
b0543,1
b0572,1
b0573,1
b0574,1
b0575,1
b0576,1
b0577,1
b0578,1
b0583,0
b0584,1
b0585,0
b0586,1
b0588,0
b0589,0
b0590,0
b0591,1
b0592,0
b0593,1
b0594,1
b0595,1
b0596,1
b0597,1
b0604,1
b0605,1
b0606,1
b0612,1
b0613,1
b0614,1
b0615,1
b0616,1
b0617,1
b0622,1
b0624,1
b0628,0
b0630,1
b0632,1
b0635,0
b0638,1
b0639,0
b0641,0
b0650,1
b0651,1
b0652,1
b0653,1
