gene_id,abundance
NP_418415.1,2779
NP_418414.1,3957
NP_414660.1,7596
YP_026170.1,2456
NP_417679.2,2859
NP_414656.1,5815
NP_415757.1,4851
NP_417798.1,252452
NP_418273.1,51584
NP_418567.1,22739
NP_414574.1,4445
NP_415423.1,4615
NP_414555.1,18605
NP_417637.1,3047
NP_418222.1,33338
NP_418391.1,3633
NP_417177.1,1948
NP_417799.1,39027
NP_418016.1,2914
NP_416958.1,469
NP_415431.1,23797
NP_415175.1,1846
NP_414543.1,5703
NP_415254.1,1706
NP_414567.1,2166
NP_415933.1,3501
NP_414640.1,706
NP_416380.1,2272
NP_416228.1,5023
NP_418679.1,1719
NP_418001.1,4939
NP_414657.1,9057
NP_418377.1,2199
NP_416734.1,750
NP_415654.1,33670
NP_418188.1,24156
NP_415452.1,1296
NP_416191.1,8902
NP_418439.1,28173
NP_416129.1,1352
NP_415534.1,128
YP_025308.1,1180
NP_415006.1,2096
NP_414712.1,19872
NP_416911.1,10158
NP_417640.1,8325
NP_418361.1,496
NP_416800.1,1148
NP_414970.1,24929
NP_414719.1,2029
NP_417633.4,3171
NP_418449.1,4601
NP_415251.1,2083
NP_414973.1,1139
NP_418493.1,995
NP_416217.1,1158
NP_417002.1,3870
NP_415444.1,199
NP_418808.1,2571
YP_026241.1,842
NP_415602.1,848
NP_416234.1,939
NP_417401.1,40039
NP_416275.1,6343
NP_417046.1,24510
NP_415759.1,5755
NP_414637.1,6070
NP_418438.1,4393
NP_416786.4,934
NP_417243.1,3011
NP_418300.1,440
NP_416293.1,47083
NP_418434.1,2728
NP_418164.4,613
NP_415792.1,595
NP_416789.2,935
NP_418306.1,17828
NP_414616.1,2711
NP_418045.4,589
NP_416637.1,608
NP_417450.1,282
NP_415248.1,9671
NP_415139.2,2435
NP_415477.1,119680
NP_418185.1,4025
NP_414736.1,4322
NP_417776.1,14191
NP_416737.1,560
NP_417955.1,1350
YP_026169.1,13683
NP_417884.1,135
NP_418190.1,14552
NP_417244.1,3317
NP_417645.1,2236
NP_418230.1,3243
NP_417417.1,12499
NP_417003.1,11237
NP_415017.1,2769
NP_417638.1,5576
NP_417754.1,14575
NP_417366.1,2565
NP_416617.1,2082
NP_416533.1,14100
NP_416655.1,3223
YP_026223.1,22968
NP_418443.1,421
NP_417703.1,53138
YP_026274.1,3013
NP_416131.1,1215
NP_414692.1,873
NP_414975.1,1057
NP_415802.1,1260
NP_415206.1,999
NP_417400.1,20049
NP_416909.1,73308
NP_416297.1,519
NP_417231.1,1520
NP_416344.1,506
NP_418288.1,173
NP_415214.1,1344
NP_414549.1,10629
NP_418681.1,1076
NP_414545.1,14609
NP_414658.1,12596
NP_414859.1,1474
NP_414595.1,1554
NP_418600.4,251
NP_415450.1,5528
NP_415413.1,2528
NP_418458.1,2142
NP_418666.1,8888
YP_026248.1,1199
NP_416202.1,231
NP_416660.1,575
NP_415403.1,530
NP_414703.1,3338
NP_414596.1,523
NP_415790.1,355
NP_416390.1,941
NP_416899.1,2561
NP_414711.1,29156
NP_416636.1,157
NP_416599.2,4939
NP_415619.1,2775
NP_415580.1,4485
NP_418395.1,2883
NP_415200.1,1154
NP_415448.1,6985
NP_415256.1,6213
NP_415257.1,6924
NP_414972.1,3251
NP_418366.1,1367
NP_415632.1,73
NP_416229.1,5078
NP_417722.1,1810
NP_416826.1,13467
NP_414756.2,86
NP_416598.1,1413
NP_418598.1,6863
NP_417260.1,960
NP_415780.1,1090
NP_417680.1,2965
NP_418127.1,1823
NP_415996.2,528
NP_415252.1,2481
NP_418069.1,2656
NP_415107.1,356
NP_418595.1,1349
NP_417507.2,4884
NP_417767.1,31769
NP_414727.1,3825
NP_418465.4,192
NP_416823.1,737
NP_415427.1,18150
NP_416959.1,1446
NP_418022.1,260
NP_416366.1,1234
NP_418448.1,3720
NP_417091.1,1416
NP_416430.1,11402
NP_415255.1,5252
NP_417862.1,1147
NP_418656.1,1295
NP_417374.1,1610
NP_415116.1,374
NP_415326.1,202
NP_415097.1,13908
NP_418482.1,127
NP_418687.1,601
NP_416254.1,3939
NP_417259.1,36150
YP_026188.1,3883
NP_418801.1,2764
NP_416056.1,591
NP_417018.4,3155
NP_416813.1,6161
NP_414867.1,470
NP_418397.2,445
NP_417484.1,1052
NP_415118.1,43
NP_414996.1,2423
NP_415449.1,24017
NP_416972.4,1753
NP_417009.1,1889
NP_418411.1,28502
NP_415804.1,5014
NP_418460.1,903
YP_026218.1,274
NP_418351.1,1448
NP_418056.1,570
NP_418207.1,5038
NP_415649.1,1933
NP_417818.1,3919
NP_414614.1,2763
NP_415777.1,5377
NP_417379.1,337
NP_418375.1,343
NP_415188.1,4936
NP_417717.2,3277
NP_417957.1,986
NP_416787.1,393
NP_418076.1,2898
NP_417101.1,925
NP_414942.1,430
NP_415969.1,3466
NP_416920.1,3914
NP_417064.1,748
NP_416719.1,33621
NP_418227.1,497
NP_417866.4,169
NP_414601.1,84
NP_417773.1,15952
NP_418074.1,172
NP_418800.1,1012
NP_416368.1,1902
NP_418354.1,7438
NP_417643.1,1087
NP_416331.1,2291
NP_415007.1,5283
NP_415275.1,6678
NP_417413.1,1295
NP_418376.1,4385
NP_418688.1,274
NP_417147.1,718
NP_415627.1,662
NP_417616.1,490
NP_414868.1,93
NP_417015.1,29
NP_415333.1,4698
NP_415537.1,636
NP_415360.1,988
NP_415752.1,1619
NP_415733.1,2645
NP_418792.1,825
NP_417755.1,13608
NP_417800.1,54022
NP_417080.4,296
NP_418401.1,676
NP_417388.1,11353
NP_416600.4,2160
NP_415288.1,1802
NP_416363.1,2379
NP_417891.1,13769
NP_417148.1,599
NP_417904.1,172
NP_418289.1,1239
NP_414778.1,944
NP_414777.1,680
NP_415693.1,2776
NP_414953.2,465
NP_414966.1,2616
NP_415522.1,501
NP_415566.1,993
NP_415191.1,215
NP_415648.1,2967
NP_417795.1,3413
NP_417104.1,5905
NP_418186.1,409
NP_415106.1,2333
NP_417779.1,16502
NP_417010.1,590
NP_415451.1,593
NP_417377.1,369
NP_418799.1,135
NP_418275.1,1726
NP_416993.2,23305
NP_415725.1,7428
NP_418392.1,2145
NP_418562.4,110
NP_414708.1,10996
NP_416523.1,4025
NP_414772.1,2408
NP_417384.1,617
YP_025294.2,441
NP_416812.1,10759
NP_416799.1,3062
NP_416128.1,498
NP_418189.1,2307
NP_418330.1,13
NP_416121.1,2729
NP_417172.1,6890
NP_416797.2,1232
NP_417485.4,328
NP_418684.1,174
NP_414739.1,29884
NP_416546.1,4865
NP_417656.1,650
NP_416545.1,1009
NP_417179.1,1514
NP_416906.1,290
NP_417071.1,301
NP_415839.1,132
NP_414710.1,1479
NP_417762.1,18042
NP_418621.5,17452
NP_415194.1,967
NP_415604.1,152
NP_416154.1,2277
NP_417173.1,550
NP_414696.1,2909
YP_026269.1,929
NP_414954.1,298
NP_414666.1,43
NP_418057.1,725
NP_416960.1,754
NP_415715.1,66
NP_415205.1,266
NP_418433.1,2115
NP_415465.1,1545
NP_418200.1,1766
NP_414572.1,3082
NP_418220.1,140
NP_418478.1,1770
NP_415332.1,6759
NP_416120.1,1938
NP_416119.1,2977
NP_418009.2,1788
NP_417524.1,802
NP_414995.1,282
NP_415268.1,1690
NP_417816.1,2048
NP_415585.1,858
NP_417526.1,287
NP_417811.1,56
NP_414774.1,248
NP_415284.1,757
NP_415138.1,58487
NP_416975.1,7595
NP_417021.1,587
NP_417696.1,4718
NP_415408.1,4439
NP_417701.1,846
NP_415165.1,1349
NP_418809.4,80
NP_417631.2,560
NP_417877.1,21
NP_418409.1,3934
NP_417539.1,648
NP_417367.1,1682
NP_415721.1,2762
NP_415609.1,2120
NP_414957.1,198
NP_415277.1,1240
NP_415276.1,12056
NP_418673.4,15854
NP_418798.1,1162
NP_416971.1,8188
NP_414871.1,3065
NP_417092.1,2076
NP_417381.1,662
NP_415776.1,4387
NP_414573.1,9256
NP_417915.1,2647
NP_416365.1,81
NP_414636.1,572
NP_416744.1,14
NP_418769.1,346
NP_417921.1,1149
NP_417847.1,911
NP_416511.4,20277
NP_418101.1,710
NP_415341.1,343
NP_415626.4,793
NP_417006.2,267
NP_417659.1,1567
NP_418344.3,21660
NP_414556.1,688
NP_418596.1,1290
NP_416585.1,265
NP_415280.3,621
NP_416540.1,836
NP_415104.1,1475
NP_415300.1,134
NP_418396.1,395
NP_416175.1,826
NP_418553.1,493
NP_417764.1,18104
NP_414940.1,846
NP_417843.1,1818
NP_415613.1,1917
NP_415611.1,4675
NP_416658.1,14176
NP_414651.1,631
NP_415278.1,369
NP_416889.1,497
NP_416130.3,914
NP_416237.3,939
NP_415718.6,754
NP_418653.1,944
NP_416654.1,25
NP_417910.1,113
NP_415428.1,2056
NP_416525.1,2203
NP_416524.1,3447
NP_415641.1,3341
NP_415957.1,82
NP_417090.1,1584
NP_415384.1,1927
NP_415779.1,1025
NP_414615.4,4588
NP_417474.1,167
NP_415961.1,313
NP_417719.1,1097
NP_417929.4,2176
NP_415948.1,1470
NP_414757.1,3370
NP_418096.4,252
NP_416531.4,1637
NP_415849.1,1445
NP_417864.1,828
NP_415193.2,734
NP_417151.1,1857
NP_415524.1,5306
NP_418162.1,292
NP_417012.1,215
NP_416996.1,60
NP_416917.1,705
NP_417806.1,5679
NP_417860.2,2363
NP_416196.1,252
NP_414627.1,512
NP_418077.1,189
YP_026164.1,59
NP_415059.1,550
NP_414714.1,5649
NP_416233.1,6930
NP_417765.1,22152
NP_418047.1,49
NP_415610.1,3385
NP_418247.1,587
