,Metabolites,Coefficients
0,nh4_c,-0.00223
1,nadh_c,-0.00223
2,val__L_c,-0.44694238390821955
3,glyc3p_c,-0.00223
4,nadph_c,-0.00223
5,leu__L_c,-0.41251515857770893
6,ctp_c,-0.1671601704512458
7,met__L_c,-0.10723969052764214
8,gly_c,-0.8068327457540323
9,pe160_p,-0.027884492774422537
10,gtp_c,-0.16306640467110828
11,accoa_c,-0.00223
12,glu__L_c,-0.00223
13,utp_c,-0.15379576979105725
14,pe181_p,-0.025042404481253683
15,dctp_c,-0.02734953643693197
16,coa_c,-0.00223
17,co2_c,-0.00223
18,ile__L_c,-0.2907964681752002
19,pe161_p,-0.023176139755167472
20,pro__L_c,-0.22635269540826172
21,pi_c,89.08201514974242
22,glu__L_c,-0.3088742159475492
23,his__L_c,-0.07909538580101926
24,amp_c,-0.00223
25,h_c,89.08201514974242
26,pyr_c,-0.00223
27,nadp_c,-0.00223
28,dttp_c,-0.025142709652151804
29,trp__L_c,-0.02496595423787938
30,thr__L_c,-0.30589419712897964
31,lys__L_c,-0.2743566703314616
32,arg__L_c,-0.18048710436993537
33,phe__L_c,-0.12592356497070842
34,gln__L_c,-0.16176662571366865
35,adp_c,89.08201514974242
36,ala__L_c,-0.786686581012288
37,asp__L_c,-0.286019444825156
38,tyr__L_c,-0.08853072858049255
39,atp_c,-89.23769948488396
40,cys__L_c,-0.03986681905592248
41,pg161_p,-0.010135081224973507
42,nad_c,-0.00223
43,datp_c,-0.02444591818758859
44,pg160_p,-0.020425294949919126
45,o2_c,-0.00223
46,pg181_p,-0.01951666690039846
47,ser__L_c,-0.30382792752346605
48,fe2_c,-0.00223
49,dgtp_c,-0.023960223483571394
50,ppi_c,0.7406050678152052
51,h2o_c,-83.63746540313372
52,asn__L_c,-0.18757538475910354
